Частота,Гц	ЭПР
10000000.0	1.3318854910727992e-11
110000000.0	1.9488248049574488e-07
210000000.0	2.5844828507569775e-06
310000000.0	1.224037837826135e-05
410000000.0	3.731444565113967e-05
510000000.0	8.890211469857579e-05
610000000.0	0.00018081609064837274
710000000.0	0.00032919215195516125
810000000.0	0.0005517734046088157
910000000.0	0.0008666225252739152
1010000000.0	0.0012899260333614714
1110000000.0	0.0018325633127521277
1210000000.0	0.0024953644151844397
1310000000.0	0.0032636452947959766
1410000000.0	0.004102696312176455
1510000000.0	0.00495693663616933
1610000000.0	0.005755347595294776
1710000000.0	0.00642355754825664
1810000000.0	0.006899156042888425
1910000000.0	0.0071441907252106284
2010000000.0	0.0071499450076292935
2110000000.0	0.00693337696974076
2210000000.0	0.0065285691836857685
2310000000.0	0.005977603820605136
2410000000.0	0.005323790810635622
2510000000.0	0.004608047332336508
2610000000.0	0.0038678087998214854
2710000000.0	0.0031373656117776615
2810000000.0	0.0024486045213493613
2910000000.0	0.0018314170336204442
3010000000.0	0.0013133382265889861
3110000000.0	0.0009182666120943004
3210000000.0	0.0006644091865669291
3310000000.0	0.0005618885012119809
3410000000.0	0.0006106715477097391
3510000000.0	0.0007995249044457942
3610000000.0	0.001106492139118202
3710000000.0	0.001500966577689864
3810000000.0	0.0019469608956729824
3910000000.0	0.0024068621327608055
4010000000.0	0.002844928894848728
4110000000.0	0.003230006637944451
4210000000.0	0.003537265488328231
4310000000.0	0.0037490503709831915
4410000000.0	0.003855088520045448
4510000000.0	0.0038523181028877057
4610000000.0	0.0037445268715077494
4710000000.0	0.0035418771191327433
4810000000.0	0.0032602889235933768
4910000000.0	0.0029205885654058714
5010000000.0	0.002547319917061181
5110000000.0	0.002167166634078902
5210000000.0	0.0018070294491770098
5310000000.0	0.0014919164858557992
5410000000.0	0.001242895288944876
5510000000.0	0.001075386678765386
5610000000.0	0.0009980362311073701
5710000000.0	0.0010122922822585214
5810000000.0	0.0011126870772557253
5910000000.0	0.0012877036851721526
6010000000.0	0.0015210462935370107
6110000000.0	0.0017931228336286107
6210000000.0	0.0020825829198001114
6310000000.0	0.002367806701758713
6410000000.0	0.0026282883660084266
6510000000.0	0.0028458869958820224
6610000000.0	0.00300592315930771
6710000000.0	0.003098086888801048
6810000000.0	0.0031171025812743616
6910000000.0	0.0030630819620536655
7010000000.0	0.0029414990813413167
7110000000.0	0.0027627472523370964
7210000000.0	0.002541284665036381
7310000000.0	0.0022944327080416703
7410000000.0	0.002040943444795601
7510000000.0	0.0017994855301240397
7610000000.0	0.0015872026961826413
7710000000.0	0.0014184765506545355
7810000000.0	0.001303984703602546
7910000000.0	0.0012500989594852352
8010000000.0	0.001258628080966782
8110000000.0	0.0013268822325727787
8210000000.0	0.0014480225249665164
8310000000.0	0.0016116553011045302
8410000000.0	0.0018046309049865581
8510000000.0	0.0020120049874541718
8610000000.0	0.0022181136031818173
8710000000.0	0.0024077014420760038
8810000000.0	0.0025670287577166345
8910000000.0	0.002684872253699684
9010000000.0	0.00275333392353673
9110000000.0	0.0027683832614858635
9210000000.0	0.002730082533882002
9310000000.0	0.002642478235825659
9410000000.0	0.002513178003029928
9510000000.0	0.0023526640112186757
9610000000.0	0.002173415823696726
9710000000.0	0.0019889254277953997
9810000000.0	0.001812685865179542
9910000000.0	0.0016572258110305867
10010000000.0	0.001533249872382494
10110000000.0	0.001448931698736429
10210000000.0	0.0014093959976333578
10310000000.0	0.0014164161475829476
10410000000.0	0.0014683448750682946
10510000000.0	0.0015602845421000293
10610000000.0	0.0016844896557003076
10710000000.0	0.001830977255453799
10810000000.0	0.001988302460576531
10910000000.0	0.002144439567923228
11010000000.0	0.0022876970700850215
11110000000.0	0.0024075905966570612
11210000000.0	0.0024956023361321074
11310000000.0	0.002545768282756243
11410000000.0	0.00255505326461617
11510000000.0	0.0025234947992918088
11610000000.0	0.002454117105790735
11710000000.0	0.0023526336908937994
11810000000.0	0.0022269697481517017
11910000000.0	0.0020866443014201357
12010000000.0	0.0019420574885185796
12110000000.0	0.0018037316510030215
12210000000.0	0.0016815566217395395
12310000000.0	0.0015840897670448815
12410000000.0	0.0015179593058554973
12510000000.0	0.0014874142561218757
12610000000.0	0.0014940552922884964
12710000000.0	0.0015367677312577142
12810000000.0	0.0016118616194607414
12910000000.0	0.0017134061917810615
13010000000.0	0.0018337290907568823
13110000000.0	0.0019640369545615827
13210000000.0	0.0020951050301096837
13310000000.0	0.002217980128343594
13410000000.0	0.0023246432744312554
13510000000.0	0.0024085847726052594
13610000000.0	0.002465253662530024
13710000000.0	0.0024923542892081887
13810000000.0	0.0024899738953248667
13910000000.0	0.0024605361978989474
14010000000.0	0.0024085866362517807
14110000000.0	0.002340425338460851
14210000000.0	0.00226361371039652
14310000000.0	0.0021863894790940886
14410000000.0	0.0021170322644566905
14510000000.0	0.00206322634772792
14610000000.0	0.0020314683359729806
14710000000.0	0.002026564316116799
14810000000.0	0.0020512538545529027
14910000000.0	0.0021059874959686417
15010000000.0	0.0021888714765737312
15110000000.0	0.0022957797276941163
15210000000.0	0.0024206204229378003
